Time (s),t * EHF (kJ/m2),HRR (kW/m2),MLR (g/s-m2),THR (MJ/m2)
1790.0,44750.0,90.2,5.06,187.37
1795.0,44875.0,88.5,2.06,187.82
1800.0,45000.0,89.7,1.81,188.26
1805.0,45125.0,87.9,2.1,188.7
1810.0,45250.0,88.3,2.86,189.15
1815.0,45375.0,88.1,4.88,189.59
1820.0,45500.0,87.9,4.08,190.03
1825.0,45625.0,87.7,3.75,190.46
1830.0,45750.0,87.9,2.69,190.9
1835.0,45875.0,89.1,2.55,191.35
1840.0,46000.0,87.0,3.1,191.78
1845.0,46125.0,87.4,2.87,192.22
1850.0,46250.0,87.5,2.76,192.66
1855.0,46375.0,86.3,2.67,193.09
1860.0,46500.0,88.0,2.91,193.53
1865.0,46625.0,87.5,3.46,193.97
1870.0,46750.0,86.9,3.55,194.4
1875.0,46875.0,85.8,1.72,194.83
1880.0,47000.0,85.6,1.03,195.26
1885.0,47125.0,85.6,2.59,195.69
1890.0,47250.0,83.9,2.37,196.11
1895.0,47375.0,83.7,2.86,196.53
1900.0,47500.0,83.9,2.24,196.95
1905.0,47625.0,82.8,2.6,197.36
1910.0,47750.0,83.1,3.72,197.77
1915.0,47875.0,84.2,3.67,198.2
1920.0,48000.0,87.8,3.17,198.63
1925.0,48125.0,90.6,3.4,199.09
1930.0,48250.0,90.8,3.97,199.54
1935.0,48375.0,90.2,3.04,199.99
1940.0,48500.0,95.6,3.64,200.47
1945.0,48625.0,96.3,3.89,200.95
1950.0,48750.0,94.4,3.69,201.42
1955.0,48875.0,94.4,2.65,201.9
1960.0,49000.0,94.4,0.97,202.37
1965.0,49125.0,91.4,1.34,202.82
1970.0,49250.0,93.4,3.88,203.29
1975.0,49375.0,92.1,5.45,203.75
1980.0,49500.0,91.1,4.43,204.21
1985.0,49625.0,90.4,2.6,204.66
1990.0,49750.0,89.4,1.22,205.11
1995.0,49875.0,90.5,2.17,205.56
2000.0,50000.0,90.3,4.44,206.01
2005.0,50125.0,89.8,4.03,206.46
2010.0,50250.0,88.7,3.77,206.9
2015.0,50375.0,88.3,2.04,207.34
2020.0,50500.0,90.0,1.21,207.79
2025.0,50625.0,86.8,1.66,208.23
2030.0,50750.0,86.4,1.11,208.66
2035.0,50875.0,87.1,2.73,209.1
2040.0,51000.0,85.4,3.77,209.52
2045.0,51125.0,84.0,4.4,209.94
2050.0,51250.0,85.7,4.09,210.37
2055.0,51375.0,85.2,2.27,210.8
2060.0,51500.0,86.0,1.67,211.23
2065.0,51625.0,85.4,1.93,211.66
2070.0,51750.0,84.0,3.87,212.08
2075.0,51875.0,83.4,4.23,212.49
2080.0,52000.0,83.5,3.53,212.91
2085.0,52125.0,82.8,2.95,213.32
2090.0,52250.0,81.9,2.78,213.73
2095.0,52375.0,82.1,3.07,214.14
2100.0,52500.0,82.3,3.85,214.56
2105.0,52625.0,82.6,3.48,214.97
2110.0,52750.0,80.6,1.74,215.37
2115.0,52875.0,80.8,2.33,215.78
2120.0,53000.0,81.0,1.5,216.18
2125.0,53125.0,82.5,1.35,216.59
2130.0,53250.0,81.1,2.72,217.0
2135.0,53375.0,81.5,2.34,217.41
2140.0,53500.0,80.3,3.42,217.81
2145.0,53625.0,79.7,3.9,218.21
2150.0,53750.0,79.6,2.95,218.6
2155.0,53875.0,78.8,1.87,219.0
2160.0,54000.0,78.1,1.34,219.39
2165.0,54125.0,77.8,2.04,219.78
2170.0,54250.0,77.4,2.21,220.17
2175.0,54375.0,78.2,3.97,220.56
2180.0,54500.0,77.1,3.19,220.94
2185.0,54625.0,76.8,3.33,221.33
2190.0,54750.0,77.3,3.71,221.71
2195.0,54875.0,76.1,1.78,222.09
2200.0,55000.0,75.2,2.07,222.47
2205.0,55125.0,75.6,1.72,222.85
2210.0,55250.0,74.2,3.58,223.22
2215.0,55375.0,73.9,2.96,223.59
2220.0,55500.0,74.6,1.24,223.96
2225.0,55625.0,75.2,2.24,224.34
2230.0,55750.0,74.4,1.45,224.71
