Time (s),t * EHF (kJ/m2),HRR (kW/m2),MLR (g/s-m2),THR (MJ/m2)
0.0,0.0,,-1.45,
5.0,375.0,,-7.14,
10.0,750.0,,-2.92,
15.0,1125.0,,-0.2,
20.0,1500.0,0.0,4.54,0.0
25.0,1875.0,1.6,9.0,0.01
30.0,2250.0,50.7,12.05,0.26
35.0,2625.0,171.1,14.36,1.12
40.0,3000.0,262.2,17.4,2.43
45.0,3375.0,308.9,19.12,3.97
50.0,3750.0,342.4,20.28,5.68
55.0,4125.0,358.3,19.92,7.48
60.0,4500.0,360.6,16.45,9.28
65.0,4875.0,358.0,14.81,11.07
70.0,5250.0,345.1,13.08,12.79
75.0,5625.0,327.3,13.81,14.43
80.0,6000.0,305.6,13.22,15.96
85.0,6375.0,279.5,11.42,17.36
90.0,6750.0,253.7,12.36,18.63
95.0,7125.0,228.2,10.01,19.77
100.0,7500.0,199.6,8.89,20.76
105.0,7875.0,179.2,6.84,21.66
110.0,8250.0,159.6,4.71,22.46
115.0,8625.0,141.9,6.0,23.17
120.0,9000.0,128.9,6.36,23.81
125.0,9375.0,119.3,5.13,24.41
130.0,9750.0,111.2,4.35,24.96
135.0,10125.0,104.7,5.25,25.49
140.0,10500.0,99.3,3.81,25.98
145.0,10875.0,96.2,5.86,26.46
150.0,11250.0,94.2,4.5,26.94
155.0,11625.0,93.5,3.02,27.4
160.0,12000.0,91.5,3.83,27.86
165.0,12375.0,88.8,2.11,28.31
170.0,12750.0,86.9,3.48,28.74
175.0,13125.0,86.0,3.73,29.17
180.0,13500.0,85.2,3.33,29.6
185.0,13875.0,85.9,3.66,30.02
190.0,14250.0,86.5,3.71,30.46
195.0,14625.0,81.4,3.91,30.86
200.0,15000.0,80.1,4.25,31.26
205.0,15375.0,78.8,3.47,31.66
210.0,15750.0,76.5,2.44,32.04
215.0,16125.0,76.1,2.4,32.42
220.0,16500.0,73.1,2.64,32.79
225.0,16875.0,71.8,3.11,33.15
230.0,17250.0,70.2,2.92,33.5
235.0,17625.0,68.6,2.03,33.84
240.0,18000.0,66.9,2.15,34.17
245.0,18375.0,65.4,2.88,34.5
250.0,18750.0,65.1,2.91,34.83
255.0,19125.0,65.0,2.98,35.15
260.0,19500.0,66.7,2.91,35.49
265.0,19875.0,65.7,4.65,35.81
270.0,20250.0,65.3,5.95,36.14
275.0,20625.0,60.8,5.46,36.45
280.0,21000.0,60.0,4.08,36.75
285.0,21375.0,58.6,0.1,37.04
290.0,21750.0,59.6,-1.05,37.34
