Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),Extinction Area (m2/kg),HRRPUA (kW/m2),CO2 (kg/kg),CO (kg/kg),H2O (kg/kg),H'carbs (kg/kg),HCl (kg/kg)
0.0,155.72,,0.0245,,,,,,0.0,-0.89,0.001,0.0,0.00102,7e-05,0.0
5.0,155.74,,0.0245,,,,,,0.0,0.0,0.0,0.0,0.38054,0.01593,0.0
10.0,155.76,,0.0245,,,,,,9.5,-1.34,0.039,0.0,0.36559,0.01407,0.0005
15.0,155.63,,0.0244,,,,,,61.3,-0.89,0.117,0.0,0.51046,0.05674,0.0
20.0,155.5,,0.0244,,,,,,158.8,0.0,0.359,0.0,0.43241,0.04349,0.0
25.0,155.05,,0.0244,,,,,,225.4,6.7,0.623,0.0,0.31462,0.03837,0.0
30.0,153.95,,0.0227,,,,,,832.0,68.73,0.564,0.0,0.24612,0.04777,0.0
35.0,152.29,,0.0226,,,,,,1289.3,199.74,0.57,0.004,0.24742,0.04759,0.0
40.0,150.81,,0.0221,,,,,,1497.2,245.09,0.549,0.004,0.26725,0.05301,0.0
45.0,149.53,,0.0223,,,,,,1560.9,247.51,0.53,0.009,0.28582,0.05962,0.0
50.0,148.38,,0.0224,,,,,,1480.4,217.69,0.517,0.01,0.30173,0.0642,0.0
55.0,147.31,,0.0226,,,,,,1445.5,190.53,0.526,0.014,0.3108,0.06722,0.0
60.0,146.26,,0.0224,,,,,,1379.9,172.24,0.524,0.014,0.31567,0.06733,0.0
65.0,145.25,,0.0226,,,,,,1368.2,170.33,0.528,0.014,0.31051,0.06722,0.0
70.0,144.19,,0.0225,,,,,,1363.7,168.56,0.529,0.014,0.3131,0.0667,0.0
75.0,143.16,,0.0225,,,,,,1392.5,170.47,0.529,0.014,0.30799,0.06563,0.0
80.0,142.09,,0.0224,,,,,,1363.2,171.47,0.536,0.013,0.31044,0.06546,0.0
85.0,141.0,,0.0223,,,,,,1430.9,172.4,0.568,0.014,0.3195,0.06835,0.0
90.0,139.99,,0.0223,,,,,,1422.5,174.29,0.596,0.014,0.33497,0.07187,0.0
95.0,139.04,,0.0225,,,,,,1478.2,176.81,0.629,0.015,0.34578,0.07586,0.0
100.0,138.1,,0.0225,,,,,,1557.8,175.77,0.656,0.016,0.3639,0.07996,0.0
105.0,137.25,,0.0225,,,,,,1475.8,174.41,0.672,0.015,0.37199,0.08157,0.0
110.0,136.39,,0.0223,,,,,,1397.2,170.48,0.684,0.015,0.36649,0.08198,0.0
115.0,135.53,,0.0226,,,,,,1509.7,170.97,0.736,0.014,0.39902,0.0819,0.0
120.0,134.73,,0.0225,,,,,,1493.9,172.4,0.811,0.015,0.41413,0.075,0.0
125.0,133.98,,0.0226,,,,,,1517.0,173.33,0.832,0.013,0.42011,0.07936,0.0
130.0,133.22,,0.0224,,,,,,1453.4,182.06,0.852,0.014,0.42424,0.08368,0.0
135.0,132.47,,0.0225,,,,,,1416.7,179.0,0.899,0.012,0.44611,0.07883,0.0
140.0,131.82,,0.0226,,,,,,1469.4,178.6,0.943,0.013,0.4443,0.07112,0.0
145.0,131.11,,0.0224,,,,,,1438.1,177.26,0.951,0.011,0.4619,0.07152,0.0
150.0,130.48,,0.0223,,,,,,1488.0,177.84,0.982,0.012,0.47762,0.07142,0.0
155.0,129.86,,0.0225,,,,,,1450.8,172.09,1.012,0.012,0.49995,0.06329,0.0001
160.0,129.31,,0.0225,,,,,,1512.7,166.9,1.077,0.013,0.53265,0.05992,0.0001
165.0,128.8,,0.0225,,,,,,1578.3,157.27,1.19,0.014,0.58817,0.06025,0.0001
170.0,128.42,,0.0226,,,,,,1528.8,146.01,1.257,0.016,0.63437,0.05334,0.0001
175.0,128.06,,0.0227,,,,,,1369.7,133.28,1.273,0.015,0.65473,0.04689,0.0002
180.0,127.75,,0.0228,,,,,,1294.9,120.94,1.366,0.018,0.69479,0.04123,0.0002
185.0,127.47,,0.0228,,,,,,1022.8,108.65,1.264,0.015,0.64711,0.03509,0.0002
190.0,127.24,,0.0229,,,,,,829.3,101.46,1.234,0.016,0.64833,0.0327,0.0002
195.0,126.88,,0.023,,,,,,871.7,93.41,1.474,0.016,0.75155,0.03926,0.0003
200.0,126.77,,0.023,,,,,,797.3,87.52,1.424,0.016,0.70097,0.03776,0.0003
205.0,126.51,,0.0229,,,,,,797.4,83.47,1.423,0.014,0.66856,0.04143,0.0003
210.0,126.3,,0.0231,,,,,,879.4,82.27,1.601,0.016,0.72809,0.04306,0.0003
215.0,126.15,,0.0231,,,,,,718.8,80.47,1.342,0.013,0.60071,0.03731,0.0003
220.0,125.94,,0.0233,,,,,,682.0,78.98,1.295,0.013,0.56216,0.03676,0.0003
