Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),Extinction Area (m2/kg),HRRPUA (kW/m2),CO2 (kg/kg),CO (kg/kg),H2O (kg/kg),H'carbs (kg/kg),HCl (kg/kg)
0.0,471.58,,0.0289,,,,,,0.0,1.06,0.0,0.0,0.00083,1e-05,0.0
5.0,471.54,,0.0288,,,,,,0.0,0.0,0.0,0.0,0.00081,1e-05,0.0
10.0,471.62,,0.0287,,,,,,0.0,1.05,0.0,0.0,0.00194,1e-05,0.0
15.0,471.64,,0.0288,,,,,,0.0,0.53,0.001,0.0,0.00344,1e-05,0.0
20.0,471.65,,0.0289,,,,,,0.0,1.06,0.002,0.0,0.00142,3e-05,0.0
25.0,471.65,,0.0288,,,,,,0.0,0.0,5.355,0.005,0.0,0.05139,0.0
30.0,471.64,,0.0288,,,,,,0.0,2.11,3.108,0.008,0.0,0.12256,0.0
35.0,471.62,,0.0289,,,,,,0.0,2.12,4.352,0.008,0.0,0.13857,0.0
40.0,471.63,,0.0287,,,,,,0.0,1.05,7.372,0.008,0.0,0.18064,0.0
45.0,471.63,,0.0289,,,,,,0.0,0.53,3.519,0.054,0.0,0.09297,0.0
50.0,471.64,,0.0289,,,,,,0.0,0.0,71.406,0.934,16.98694,1.95681,0.0
55.0,471.61,,0.0289,,,,,,0.0,-0.52,60.094,0.934,1.19147,2.24786,0.0
60.0,471.63,,0.0288,,,,,,0.0,0.0,54.539,0.928,4.6984,2.86504,0.0
65.0,471.63,,0.0289,,,,,,0.0,0.53,68.161,0.931,10.61353,3.34602,0.0
70.0,471.65,,0.0288,,,,,,0.0,0.0,48.927,0.928,12.95805,4.77704,0.0
75.0,471.65,,0.0288,,,,,,317.6,-0.52,2.32,0.031,0.38253,0.21458,0.0
80.0,471.67,,0.0289,,,,,,46.6,0.53,1.006,0.015,0.09596,0.13345,0.0
85.0,471.63,,0.0287,,,,,,146.3,0.53,0.825,0.014,0.3048,0.16873,0.0
90.0,471.64,,0.0288,,,,,,92.9,1.06,0.504,0.012,0.04245,0.18588,0.0
95.0,471.61,,0.0286,,,,,,89.2,1.05,0.686,0.014,0.37762,0.25236,0.0
100.0,471.59,,0.0288,,,,,,204.5,0.53,1.165,0.024,1.01799,0.48478,0.0
105.0,471.61,,0.029,,,,,,367.8,1.06,0.594,0.022,0.54884,0.28649,0.0
110.0,471.58,,0.0288,,,,,,170.7,0.0,0.338,0.011,0.0,0.16829,0.0
115.0,471.54,,0.0287,,,,,,197.4,0.53,0.378,0.011,0.0,0.18647,0.0
120.0,471.52,,0.0288,,,,,,253.1,-0.52,0.315,0.013,0.05529,0.26813,0.0
125.0,471.53,,0.0289,,,,,,363.1,0.53,0.206,0.025,0.13912,0.34762,0.0
130.0,471.47,,0.0287,,,,,,626.7,0.0,0.505,0.036,0.67497,0.60749,0.0
135.0,471.47,,0.0288,,,,,,349.1,1.06,0.133,0.017,0.33444,0.29863,0.0
140.0,471.45,,0.0287,,,,,,240.8,0.53,0.092,0.009,0.12059,0.18893,0.0
145.0,471.39,,0.0289,,,,,,237.9,-0.52,0.099,0.011,0.15504,0.19056,0.0
150.0,471.34,,0.0289,,,,,,250.7,1.06,0.105,0.012,0.21069,0.21094,0.0
155.0,471.29,,0.0287,,,,,,294.7,0.0,0.043,0.018,0.19152,0.2564,0.0
160.0,471.24,,0.0289,,,,,,359.5,0.53,0.14,0.019,0.36364,0.32606,0.0
165.0,471.23,,0.0288,,,,,,351.3,0.53,0.061,0.016,0.21613,0.27896,0.0
170.0,471.16,,0.0287,,,,,,381.1,0.0,0.149,0.014,1.91029,0.25474,0.0
175.0,471.12,,0.0288,,,,,,256.3,0.53,0.821,0.01,4.09039,0.19308,0.0
180.0,471.05,,0.0289,,,,,,49.7,0.0,2.466,0.003,1.93673,0.03234,0.0
185.0,470.89,,0.0277,,,,,,290.9,14.71,2.087,0.005,0.95718,0.02555,0.0
190.0,470.28,,0.0263,,,,,,423.6,126.01,1.841,0.004,0.70327,0.01817,0.0
195.0,469.63,,0.0259,,,,,,527.1,247.1,1.738,0.015,0.65942,0.01858,0.0
200.0,469.04,,0.0261,,,,,,615.9,293.66,1.707,0.016,0.68024,0.01934,0.0
205.0,468.48,,0.0261,,,,,,634.4,277.79,1.723,0.03,0.72883,0.02177,0.0
210.0,467.99,,0.0264,,,,,,637.6,254.42,1.719,0.033,0.76596,0.02206,0.0
215.0,467.54,,0.0265,,,,,,636.9,234.13,1.708,0.042,0.76993,0.02,0.0
220.0,467.08,,0.0264,,,,,,657.4,217.38,1.679,0.042,0.75981,0.01838,0.0
