Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),Extinction Area (m2/kg),HRRPUA (kW/m2),CO2 (kg/kg),CO (kg/kg),H2O (kg/kg),H'carbs (kg/kg),HCl (kg/kg)
0.0,4.9,,0.0262,,,,,,0.0,0.0,0.007,0.0,0.01087,0.0,0.0001
5.0,4.84,,0.0262,,,,,,20.7,0.0,0.511,0.0,0.43923,8e-05,0.0123
10.0,4.77,,0.0261,,,,,,216.9,0.0,2.098,0.006,0.10775,5e-05,0.0148
15.0,4.42,,0.0251,,,,,,1750.5,0.0,2.064,0.009,0.03937,1e-05,0.0231
20.0,4.3,,0.0252,,,,,,0.0,0.0,3.982,0.131,0.0,3e-05,0.1052
25.0,4.31,,0.026,,,,,,0.0,0.0,2.135,0.135,0.0,0.0,0.0601
30.0,4.3,,0.0262,,,,,,0.0,1.44,1.901,0.178,0.0,0.00035,0.0377
35.0,4.32,,0.0261,,,,,,0.0,59.64,7.462,0.766,0.0,0.00165,0.1357
40.0,4.3,,0.026,,,,,,0.0,126.1,4.262,0.506,0.0,0.00101,0.0761
45.0,4.29,,0.026,,,,,,0.0,38.01,7.357,0.813,0.0,0.0014,0.1129
50.0,4.28,,0.026,,,,,,0.0,9.04,35.012,3.619,0.0,0.00626,0.457
55.0,4.3,,0.0261,,,,,,0.0,4.77,11.847,1.248,0.0,0.00188,0.1581
60.0,4.28,,0.0261,,,,,,0.0,3.82,3.885,0.455,0.0,0.0006,0.0536
65.0,4.29,,0.0262,,,,,,0.0,3.33,3.677,0.382,0.0,0.00028,0.0468
70.0,4.25,,0.0262,,,,,,0.0,2.38,5.362,0.599,0.0,0.0,0.0654
75.0,4.24,,0.0262,,,,,,0.0,3.35,15.018,1.669,0.0,0.0,0.1726
80.0,4.25,,0.0261,,,,,,0.0,2.87,21.931,2.498,0.0,0.0,0.2409
85.0,4.24,,0.0262,,,,,,0.0,3.35,12.895,1.382,0.0,0.0,0.1435
90.0,4.24,,0.0262,,,,,,0.0,3.35,10.621,1.655,0.0,0.0,0.1274
95.0,4.23,,0.0262,,,,,,0.0,2.83,6.306,0.986,0.0,0.0,0.0803
100.0,4.23,,0.0263,,,,,,0.0,3.64,3.545,0.514,0.0,0.00171,0.0395
105.0,4.23,,0.0261,,,,,,0.0,3.34,3.12,0.478,0.0,0.00216,0.0338
110.0,4.2,,0.0262,,,,,,0.0,3.36,4.178,0.642,0.0,2e-05,0.0432
115.0,4.19,,0.026,,,,,,0.0,3.8,4.651,0.661,0.0,0.0,0.0436
120.0,4.2,,0.0262,,,,,,0.0,3.83,5.992,0.814,0.0,0.0,0.0519
125.0,4.17,,0.0261,,,,,,0.0,3.34,17.757,2.433,0.0,0.00017,0.1652
130.0,4.18,,0.0262,,,,,,0.0,4.31,5.478,0.867,0.0,2e-05,0.0484
135.0,4.17,,0.0262,,,,,,0.0,3.35,2.707,0.434,0.0,0.0,0.0256
140.0,4.14,,0.0262,,,,,,0.0,4.33,3.954,0.635,0.0,0.00017,0.0376
145.0,4.14,,0.0262,,,,,,0.0,3.35,6.561,1.125,0.0,0.0,0.0627
150.0,4.12,,0.0261,,,,,,0.0,3.81,11.223,1.891,0.0,0.0,0.0965
155.0,4.12,,0.0261,,,,,,0.0,3.34,11.707,2.017,0.01142,0.0,0.1162
160.0,4.12,,0.0261,,,,,,0.0,3.34,4.307,0.818,0.0,0.0,0.0466
165.0,4.13,,0.0261,,,,,,0.0,3.82,3.95,0.757,0.0,0.0,0.0393
170.0,4.1,,0.026,,,,,,0.0,3.81,2.575,0.521,0.0,0.0,0.026
175.0,4.09,,0.026,,,,,,0.0,3.33,1.888,0.351,0.0,0.0001,0.0181
180.0,4.06,,0.026,,,,,,0.0,3.33,3.444,0.679,0.0,0.0,0.0358
185.0,4.05,,0.0262,,,,,,0.0,3.35,3.241,0.683,0.0,0.00238,0.0362
190.0,4.05,,0.0262,,,,,,0.0,3.35,3.157,0.682,0.0,0.00029,0.0344
195.0,4.06,,0.0262,,,,,,0.0,3.83,5.934,1.245,0.0,0.00041,0.0622
200.0,4.06,,0.026,,,,,,0.0,3.3,4.661,0.805,0.0,0.00247,0.0511
205.0,4.04,,0.0261,,,,,,0.0,3.82,5.998,1.028,0.0,0.0,0.0646
210.0,4.03,,0.0263,,,,,,0.0,3.84,4.482,0.714,0.0,0.00179,0.0458
215.0,4.03,,0.0261,,,,,,0.0,3.82,3.778,0.609,0.0,0.00012,0.0357
220.0,4.01,,0.0262,,,,,,0.0,2.88,3.448,0.571,0.0,0.00019,0.0319
