 FAA 																							
FILE : C:\CONE171\RAWDATA\030710A1.CDT																							
------------------------------------------------------------------------																							
ÄÄÄÄÄÄÄ Test Parameters ÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄ																							
																							
Test Date : 10-Jul-03  Test Time : 02:54 p.m.  Operator  : SC																							
																							
"Test Scans          :  1448 scans, 1 secs/scan"																							
Test Length         :  1328.18 secs																							
Sample Surface Area : 0.00880 mý																							
Radiant Heat Flux   :  50.0 kW/mý																							
Sample Orientation  : Horizontal																							
Measured Exh. Flow  : 0.024 m3/sec																							
Orifice Plate       : 57 mm																							
																							
Sponsor             : 																							
Sample Material     : 																							
  PMMA 1in 																							
  SURFACE TEMPERATURE																							
  MEASUREMENT																							
																							
ÄÄÄÄÄÄÄ Test Notes ÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄ																							
																							
Pre-test Comments:																							
10x10x2.35cm																							
"STM PROBE, SURFACE, 1/4"", 1/2"", BACK TC"																							
DAQ FILE: 50PROBEPMMABLACK3																							
																							
Post-test Comments:																							
MASS LOSS ERROR																							
STM PROBE TC TIP BREAKAGE																							
ÄÄÄÄÄÄÄ Reduction Parameters ÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄ																							
																							
C-Factor (Methane)   : 0.04363974																							
Conversion Factor    :  13.100 MJ/kg O2																							
Baseline O2 Reading  :  20.974 %																							
Baseline CO2 Reading : 0.03844 %																							
Baseline CO Reading  : 0.00018 %																							
																							
																							
ÄÄÄÄÄÄÄ Test Results ÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄ																							
																							
Peak Heat Release Rate         :   863.68 kW/mý at 852.00 secs																							
Average Heat Release Rate      :   620.08 kW/mý																							
Average Heat Release Rate  T60 :   439.76 kW/mý																							
Average Heat Release Rate  T180:   600.61 kW/mý																							
Average Heat Release Rate  T300:   633.68 kW/mý																							
Total Heat Released            :   812.35 MJ/mý																							
Average Effective HOC          :    16.83 MJ/kg																							
Average Specific Ext Area      :    58.38 mý/kg																							
Average Mass Loss Rate         :   95.224 g/súmý																							
Entered Initial Specimen Mass  :   293.30 g																							
Measured Final Specimen Mass   :  -131.48 g																							
Average CO Yield               :  0.00294 kg/kg																							
Average CO2 Yield              :  1.47178 kg/kg																							
Time to Sustained Ignition     :    19.88 secs																							
																							
																							
 Scan	  HRR	  HOC	  SEA	  MLR	  CO2	  CO 	Duct Mass	 Duct Vol	Smk Mass	 Smk Vol	 Mass	Ext Coef	Exh Pres	 Stack T	 Smoke T	  O2	  CO2	  CO	 Soot Fl	  Time	Aux 1	Aux 2	Aux 3
 	 (kW/m2)	 (MJ/kg) 	 (m2/kg) 	(g/s*m2)	 (kg/kg)	 (kg/kg)	 (kg/s)	  (l/s)	  (kg/s)	  (l/s)	  gm	  l/m	  Pa	  øC	  øC	   %	   %	   %	  (g/s)	  secs	 volts	 volts	 volts
0	0.059	0	0	0	0	0	0.02771	25.89562	0.02798	26.14869	144.0059801	0	133.066	56.916	60.141	20.9499	0.04705	0.00018	0.00092	1	-0.144501	0.094452	-0.139008
1	0.058	0	0	0	0	0	0.02716	25.3842	0.02742	25.62659	292.4780869	0	127.858	56.927	60.079	20.9499	0.04675	0.00021	0	2	-0.115814	0.0914	-0.150757
2	0.059	0	0.056	1263.117837	0.00044	0	0.02747	25.67824	0.02773	25.92051	263.9083887	0.02386	130.808	57.001	60.116	20.9499	0.05013	0.00021	0.00275	3	-0.101776	0.089111	-0.147095
3	0.058	0	0	0	0	0	0.02703	25.26962	0.02729	25.50662	294.8590393	0.03068	126.678	57.001	60.097	20.9499	0.04982	0.00018	0.00214	4	-0.096741	0.080719	-0.150757
4	0.94	0.011	1.203	83.2399997	0.00769	0.00001	0.0274	25.60739	0.02766	25.85478	296.4388427	0.03408	130.116	56.927	60.116	20.94835	0.05197	0.00021	0.00015	5	-0.093231	0.083313	-0.140381
5	1.829	0	0	0	0	0	0.0275	25.69988	0.02777	25.94962	298.2435908	0.00511	131.073	56.89	60.097	20.9468	0.05474	0.00021	0.00107	6	-0.09201	0.099182	-0.133209
6	1.825	0	0	0	0	0	0.02745	25.65268	0.02771	25.89908	299.7749446	-0.00341	130.584	56.908	60.079	20.9468	0.05413	0.00021	0.00168	7	-0.084839	0.054321	-0.140533
7	0.948	0	0	0	0	0	0.02761	25.80227	0.02787	26.04578	301.3287929	0.03238	132.11	56.912	60.027	20.94835	0.05444	0.00021	0.00031	8	-0.079651	0.076141	-0.136261
8	2.707	0	0	0	0	0	0.02743	25.63126	0.0277	25.88035	302.7840116	-0.01875	130.381	56.872	60.079	20.94526	0.05197	0.00018	0.00015	9	-0.0737	0.077972	-0.127869
9	2.707	0	0	0	0	0	0.02743	25.63269	0.02769	25.88176	304.1198367	-0.0017	130.381	56.908	60.116	20.94526	0.05074	0.00018	0	10	-0.062408	0.076447	-0.130005
10	3.619	0	0	0	0	0	0.02766	25.8485	0.02792	26.09677	305.3985604	-0.02727	132.578	56.927	60.097	20.94371	0.05474	0.00021	0	11	-0.053864	0.076447	-0.134583
